242,Tūī,"Black Robin",Kākāpō,"Little Spotted Kiwi","Yellow-eyed penguin"
243,Kererū,"New Zealand Falcon","Orange-fronted Parakeet"
244,Kererū
246,"Antipodean Albatross","New Zealand Falcon",Harrier,"Black Robin",Rifleman
247,"South Island Kōkako","Yellow-eyed penguin","Australasian Crested Grebe",Takahē,"Northern Royal Albatross"
248,"Rockhopper Penguin",Kākā,"Orange-fronted Parakeet","Chatham Island Oystercatcher","New Zealand Dotterel"
251,"Yellow-eyed penguin",Kākā,"Little Spotted Kiwi",Kākāpō,"South Island Kōkako"
252,Bellbird,Kererū,Kōkako,"Chatham Island Mollymawk","Black Robin"
254,Tomtit,"Black Stilt","Yellow-eyed penguin",Rifleman,"New Zealand Dotterel"
255,"Banded Dotterel","Brown Teal","Blue Duck",Fernbird,"Great Spotted Kiwi"
256,"Rockhopper Penguin",Kākāpō,"Little Spotted Kiwi","Shining Cuckoo",Silvereye
257,"Rock Wren",Kākāpō,"Black Stilt",Kea,Tūī
258,"Yellow-eyed penguin","Black-billed Gull",Kākāpō,"Black Stilt","Blue Duck"
259,"Rock Wren",Mōhua,"Chatham Island Mollymawk","Yellow-eyed penguin","South Island Kōkako"
260,"Little Spotted Kiwi","Southern Brown Kiwi",Kākāpō,"Antipodean Albatross","New Zealand Falcon"
264,"Yellow-eyed penguin",Kākā,Kākāpō,Kea,"Antipodean Albatross"
266,"Yellow-eyed penguin","Blue Duck",Kingfisher,"New Zealand Dotterel","Southern Brown Kiwi"
267,"Yellow-eyed penguin","Southern Brown Kiwi","Shore Plover","The Otago Shag","South Island Kōkako"
268,Kea,Kākā,Kōkako,"Fiordland Crested Penguin","South Island Kōkako"
269,Kākāpō,"Black Robin",Kākā,"Southern Brown Kiwi","Banded Dotterel"
270,Kākāpō,"North Island Brown Kiwi","Little Spotted Kiwi",Kea,Kōkako
271,"New Zealand Dotterel","Yellow-eyed penguin","Antipodean Albatross",Kākāpō,"Little Spotted Kiwi"
273,"Yellow-eyed penguin","Shore Plover","New Zealand Falcon","Hutton's Shearwater",Kākāpō
274,"Fairy Tern","Banded Dotterel","Shore Plover",Kākā,Kākāpō
276,Kea,"South Island Kōkako",Kākā,Tūī,Saddleback
277,Weka,Kākāpō,Kea,"Little Spotted Kiwi","Antipodean Albatross"
278,"Yellow-eyed penguin"
279,"Yellow-eyed penguin","Southern Royal Albatross","Fairy Tern",Fantail,"The Otago Shag"
281,"South Island Kōkako","Black Stilt","Black Robin",Kākā,Mōhua
282,Kākā,Kākāpō,"Little Spotted Kiwi",Mōhua,"Orange-fronted Parakeet"
283,"Yellow-eyed penguin","Little Penguin","Rockhopper Penguin","Fiordland Crested Penguin","Little Spotted Kiwi"
284,"Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin",Kākāpō,"Little Spotted Kiwi"
285,"Black-billed Gull","Banded Dotterel","Orange-fronted Parakeet","Shore Plover",Bittern
286,Stitchbird,Saddleback,Rifleman,"New Zealand Falcon",Silvereye
288,"North Island Brown Kiwi"
289,Stitchbird,"Shore Plover","South Polar Skua",Fernbird,"Spotless Crake"
290,"Black Robin","Fiordland Crested Penguin",Kākāpō,Mōhua,"Orange-fronted Parakeet"
291,Kākāpō,"Fairy Tern","New Zealand Dabchick","Antipodean Albatross","The Otago Shag"
292,"Yellow-eyed penguin","Banded Dotterel","Chatham Island Mollymawk","Antipodean Albatross",Kea
293,Bellbird,Kingfisher
294,Kākāpō,Takahē,Tūī,Fantail,"Black Robin"
295,"Little Penguin",Fantail,Morepork,Rifleman,"Rockhopper Penguin"
296,Wrybill
298,"Spotted Shag","Black Stilt",Bittern,"Shore Plover","Yellow-eyed penguin"
299,Kererū,"Little Penguin",Morepork,Tūī,"Antipodean Albatross"
300,Kākāpō,Kea,"Orange-fronted Parakeet","North Island Brown Kiwi",Kākā
301,Takahē,Kākāpō,"Orange-fronted Parakeet","Blue Duck",Bittern
302,Tūī,Tomtit,Kingfisher,Saddleback,"Australasian Gannet"
304,"New Zealand Dotterel","Banded Dotterel","Bar-tailed Godwit","Little Penguin",Silvereye
305,"Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin","Little Penguin"
306,Bellbird,"Banded Dotterel","Fiordland Crested Penguin",Kea,Mōhua
307,"Antipodean Albatross","Banded Dotterel",Bellbird,"Black Robin","Chatham Island Oystercatcher"
308,Fantail,Bellbird,"Grey Warbler",Kingfisher,"Little Penguin"
310,"Fairy Tern",Kākāpō,"Orange-fronted Parakeet",Saddleback,"Chatham Island Oystercatcher"
311,Morepork,"South Island Kōkako","Yellow-eyed penguin","Blue Duck",Scaup
312,Tūī,Fantail,"Yellow-eyed penguin",Kererū,Kingfisher
313,Tūī,Takahē,Kākā,"New Zealand Falcon",Morepork
314,"Banded Dotterel",Wrybill,Bittern,"Black Stilt",Mōhua
315,"Rockhopper Penguin","Fiordland Crested Penguin",Kākāpō,"Southern Royal Albatross","Blue Duck"
316,Stitchbird,"New Zealand Dotterel",Kōkako,"Blue Duck",Saddleback
317,Whitehead,Kererū,Morepork,"Black Robin","New Zealand Falcon"
318,"Bar-tailed Godwit","Fairy Tern",Fantail,Tūī,"White-faced Heron"
319,"Whenua Hou Diving Petrel","Black Petrel","Spotted Shag","Hutton's Shearwater","Northern Royal Albatross"
320,Kererū,"Grey Warbler","Banded Dotterel","Black Robin","Campbell Black-Browed Albatross"
321,"Blue Duck","South Island Kōkako","Black Robin",Mōhua,Kererū
322,Takahē,"Southern Brown Kiwi","Little Spotted Kiwi","North Island Brown Kiwi","Great Spotted Kiwi"
326,Kākā,Kōkako,Tūī,Fantail
329,"Chatham Island Mollymawk","Little Spotted Kiwi","Orange-fronted Parakeet","Rockhopper Penguin",Tūī
330,Kākāpō,Kākā,"Little Spotted Kiwi","Fairy Tern","Black Robin"
331,Kererū
332,Tūī,Kākā,Pūkeko,"Grey Warbler"
333,"South Island Kōkako","Rockhopper Penguin","Black Robin","Orange-fronted Parakeet",Takahē
334,Kea,Takahē,Harrier,"Orange-fronted Parakeet",Fantail
335,Takahē,"Blue Duck",Kea,Kākā,"Chatham Island Mollymawk"
336,Kea,"Orange-fronted Parakeet",Kākāpō,"Rock Wren",Kākā
339,Kererū,"Southern Brown Kiwi","North Island Brown Kiwi","Little Spotted Kiwi",Kākāpō
341,Kākāpō,Bittern,"Black Robin","Black Stilt","Little Spotted Kiwi"
342,Kākāpō,Kererū,"Banded Dotterel","Australasian Crested Grebe",Kea
343,Saddleback,Kākāpō,"Black Robin",Kākā,"Southern Brown Kiwi"
344,"Fairy Tern","Southern Royal Albatross",Kea,"South Island Kōkako","New Zealand Falcon"
349,Harrier,"New Zealand Falcon","Black Robin","Blue Duck",Mōhua
350,Kākāpō,"Fairy Tern",Fantail,"Antipodean Albatross",Morepork
351,"Spotted Shag",Bittern,Fantail,Kingfisher,Kākā
352,"Rockhopper Penguin","Yellow-eyed penguin","Fiordland Crested Penguin",Rifleman,Fantail
356,"South Island Kōkako","Rockhopper Penguin",Kākā,"Blue Duck","Little Spotted Kiwi"
357,Kākāpō,Kea,Kererū,Morepork,Tūī
359,Saddleback,Takahē,"Blue Duck","Orange-fronted Parakeet",Whitehead
360,"Yellow-eyed penguin",Morepork,"Little Penguin","New Zealand Falcon",Weka
361,Saddleback,Kōkako,"Black Robin","Rockhopper Penguin","Blue Duck"
364,"Banded Dotterel","Black Robin",Mōhua,Bittern,"Blue Duck"
365,Kākāpō
366,Kea,"Black Robin",Kākāpō,"Shining Cuckoo",Kākā
367,"Yellow-eyed penguin","Blue Duck",Mōhua
368,"Black Robin","Banded Dotterel","Great Spotted Kiwi",Kākāpō,"Little Spotted Kiwi"
